type,subject,topic,difficulty,question,options,correctanswer,marks,explanation
MCQ,Physics,Fundamental Quantities and Units,Easy,"Which of the following is NOT a fundamental SI quantity?","Length|Mass|Force|Time",2,2,"Force is a derived quantity (mass x acceleration), whereas Length, Mass, and Time are base SI quantities."
MCQ,Physics,Fundamental Quantities and Units,Easy,"What is the SI base unit of electric current?","Coulomb|Ampere|Volt|Ohm",1,2,"The SI base unit for electric current is the Ampere (A)."
MCQ,Physics,Fundamental Quantities and Units,Easy,"Which SI base unit is defined in terms of the Planck constant h?","Second|Meter|Kilogram|Kelvin",2,3,"Since the 2019 redefinition of SI units, the kilogram is defined using the exact numerical value of the Planck constant."
MCQ,Physics,Fundamental Quantities and Units,Easy,"What is the SI unit of thermodynamic temperature?","Celsius|Fahrenheit|Kelvin|Joule",2,2,"Kelvin (K) is the SI base unit of thermodynamic temperature."
MCQ,Physics,Fundamental Quantities and Units,Easy,"How many fundamental SI base units are there in physics?","5|6|7|8",2,2,"There are 7 fundamental SI base units: meter, kilogram, second, ampere, kelvin, mole, and candela."
MCQ,Physics,Fundamental Quantities and Units,Easy,"Which quantity measures the amount of substance in SI units?","Kilogram|Gram|Mole|Candela",2,2,"The mole (mol) is the SI base unit for amount of substance."
MCQ,Physics,Fundamental Quantities and Units,Easy,"What is the SI unit of luminous intensity?","Lumen|Candela|Lux|Watt",1,2,"Candela (cd) is the base SI unit measuring luminous intensity."
MCQ,Physics,Fundamental Quantities and Units,Easy,"Which symbol represents the dimensional formula for Mass?","[L]|[T]|[M]|[I]",2,1,"In dimensional analysis, [M] represents Mass."
MCQ,Physics,Fundamental Quantities and Units,Medium,"What is the dimensional formula for fundamental Length and Time combined as [L T^-1]?","Speed/Velocity|Acceleration|Force|Momentum",0,2,"[L T^-1] is the dimension of speed or velocity (length divided by time)."
MCQ,Physics,Fundamental Quantities and Units,Easy,"Which prefix corresponds to a multiplication factor of 10^-6?","Milli|Micro|Nano|Pico",1,2,"Micro corresponds to 10^-6 (e.g., micrometer)."
MCQ,Physics,Fundamental Quantities and Units,Easy,"Which prefix corresponds to 10^9?","Mega|Giga|Tera|Kilo",1,2,"Giga (G) corresponds to a factor of one billion (10^9)."
MCQ,Physics,Fundamental Quantities and Units,Medium,"Which of the following pairs has the same dimensional formula?","Work and Power|Force and Pressure|Work and Energy|Momentum and Force",2,3,"Work and Energy both have the dimensional formula [M L^2 T^-2] and SI unit Joule."
MCQ,Physics,Fundamental Quantities and Units,Medium,"What is the SI unit of plane angle?","Degree|Radian|Steradian|Gradian",1,2,"The radian (rad) is the SI unit for measuring plane angles."
MCQ,Physics,Fundamental Quantities and Units,Medium,"What is the SI unit of solid angle?","Radian|Degree|Steradian|Sphere",2,2,"Steradian (sr) is the SI unit of solid angle."
MCQ,Physics,Fundamental Quantities and Units,Easy,"1 micrometer (1 um) is equal to how many meters?","10^-3 m|10^-6 m|10^-9 m|10^-12 m",1,2,"1 micrometer = 10^-6 meters."
MCQ,Physics,Fundamental Quantities and Units,Easy,"1 nanometer (1 nm) equals:","10^-6 m|10^-9 m|10^-10 m|10^-12 m",1,2,"Nano means 10^-9."
